131, 342, -0.08283219015324095, -0.08283219015324095, -2.1651846792716647, 3420, 3420, 8700, 51, 51, 120
386, 869, -0.06767107011753795, -0.06767107011753795, -3.2304075460423407, 11020, 11020, 23700, 153, 153, 332
110, 245, -0.12039520121456929, -0.12039520121456929, -2.6370162194482307, 5120, 5120, 8060, 43, 43, 82
183, 376, -0.7641977692104559, -0.7641977692104559, -2.8052309415867547, 5460, 5460, 10140, 67, 67, 135
1101, 1906, -0.08788437846802208, -0.08788437846802208, -2.560292102584107, 36220, 36220, 63580, 438, 438, 746
105, 137, -1.2435883676507697, -1.2435883676507697, -2.850367640137414, 2160, 2160, 2320, 34, 34, 38
1828, 2194, -0.5418419620186078, -0.5418419620186078, -3.1730877449617902, 59920, 59920, 70840, 727, 727, 862
541, 1225, -0.5841159350275527, -0.5841159350275527, -2.688013546942891, 19060, 19060, 37240, 212, 212, 473
500, 845, -0.12039520121456929, -0.12039520121456929, -2.324969178773467, 18420, 18420, 27020, 199, 199, 321
108, 192, -0.7180829051028097, -0.7180829051028097, -3.2919423470923377, 1880, 1880, 4940, 38, 38, 60
167, 193, -1.1547508641890192, -1.1547508641890192, -1.4975854683448437, 4720, 4720, 5320, 54, 54, 60
118, 177, -0.07088904585153587, -0.07088904585153587, -3.6372974181979374, 2240, 2240, 3620, 47, 47, 55
294, 577, -1.0920283381980627, -1.0920283381980627, -3.9175926550125615, 9620, 9620, 15940, 108, 108, 215
732, 778, -1.9655895918792294, -1.9655895918792294, -2.228657454846983, 20680, 20680, 22360, 279, 279, 294
872, 1070, -0.9073739935884949, -0.9073739935884949, -2.2791571448426415, 23900, 23900, 30120, 339, 339, 411
282, 1928, -0.31418195870772103, -0.31418195870772103, -2.4191947703005217, 9500, 9500, 56920, 109, 109, 754
121, 248, -1.2328492884100883, -1.2328492884100883, -3.8394918182850017, 3000, 3000, 6400, 38, 38, 84
127, 299, -0.7565667281029618, -0.7565667281029618, -3.4028316437825445, 1940, 1940, 5700, 41, 41, 103
219, 746, -1.1374275194683188, -1.1374275194683188, -1.3429468241852773, 6060, 6060, 19400, 80, 80, 282
357, 637, -0.019437574441199354, -0.019437574441199354, -2.5780901409997683, 10500, 10500, 19960, 142, 142, 238
413, 1381, -0.07698292375135932, -0.07698292375135932, -3.7927285814840537, 15480, 15480, 42800, 164, 164, 537
1616, 3944, -0.08807231018477951, -0.08807231018477951, -3.466204427999787, 47880, 47880, 121420, 645, 645, 1563
1192, 1364, -0.7605709633764338, -0.7605709633764338, -2.3595014189354027, 31700, 31700, 34720, 471, 471, 529
187, 193, -2.6638850636305027, -2.6638850636305027, -2.834531749972588, 5080, 5080, 5160, 58, 58, 60
935, 1262, -1.4377585934538983, -1.4377585934538983, -3.243010573714978, 29200, 29200, 37180, 365, 365, 488
326, 593, -0.08005587883517624, -0.08005587883517624, -2.8543427571388347, 8360, 8360, 17260, 130, 130, 220
169, 194, -1.1743411475043741, -1.1743411475043741, -3.7753549095253227, 3960, 3960, 5160, 59, 59, 63
214, 370, -0.650810281967228, -0.650810281967228, -2.9780773860619165, 5640, 5640, 10820, 80, 80, 131
1446, 2935, -0.5296122849604791, -0.5296122849604791, -3.179073985209466, 46440, 46440, 97980, 574, 574, 1158
535, 2069, -0.23758777901749126, -0.23758777901749126, -2.017486320961684, 16800, 16800, 67120, 212, 212, 812
102, 105, -2.8975760207961465, -2.8975760207961465, -3.026782403217076, 2540, 2540, 2540, 27, 27, 27
118, 498, -1.7518289867300727, -1.7518289867300727, -2.038578166234969, 2260, 2260, 14260, 37, 37, 182
228, 286, -0.04524768575275572, -0.04524768575275572, -2.049148198159364, 5400, 5400, 5880, 91, 91, 98
193, 640, -0.2106554799775101, -0.2106554799775101, -4.082041733922498, 5120, 5120, 15120, 76, 76, 240
743, 850, -0.14556930276036373, -0.14556930276036373, -3.4199817813938074, 21920, 21920, 23640, 296, 296, 324
620, 1161, -0.13808363312000438, -0.13808363312000438, -2.2352996725285896, 18480, 18480, 34900, 246, 246, 448
399, 965, -0.6081121313887202, -0.6081121313887202, -1.7963476066655732, 13280, 13280, 29140, 155, 155, 369
106, 107, -3.166049143302776, -3.166049143302776, -3.166049143302776, 1620, 1620, 1620, 26, 26, 26
127, 507, -0.8382883328691868, -0.8382883328691868, -3.553052131580586, 5080, 5080, 12560, 45, 45, 187
177, 264, -0.2870745766529048, -0.2870745766529048, -3.9887486404570014, 3020, 3020, 4460, 68, 68, 90
240, 272, -0.757290827624642, -0.757290827624642, -3.340141866800339, 5740, 5740, 6040, 90, 90, 93
138, 3187, -1.0593640130287139, -1.0593640130287139, -2.4776724235503527, 2700, 2700, 107180, 47, 47, 1258
137, 157, -1.0912895959942668, -1.0912895959942668, -4.193373569332724, 2400, 2400, 2440, 46, 46, 47
191, 228, -1.5785176015364595, -1.5785176015364595, -3.1474555135152027, 5340, 5340, 5780, 64, 64, 74
102, 112, -1.511892062184778, -1.511892062184778, -2.2670403344907544, 1560, 1560, 1560, 28, 28, 28
564, 710, -1.0996075545376658, -1.0996075545376658, -4.033816269424058, 13360, 13360, 18040, 217, 217, 268
372, 702, -0.15219403776205748, -0.15219403776205748, -3.6374805698335195, 9460, 9460, 16400, 146, 146, 264
466, 507, -1.0371521504208832, -1.0371521504208832, -1.9731433338563684, 14000, 14000, 16700, 176, 176, 187
107, 262, -0.37959513074711804, -0.37959513074711804, -2.215192270672254, 1960, 1960, 7940, 37, 37, 88
1139, 1798, -0.0745156064939472, -0.0745156064939472, -2.431835651417924, 36320, 36320, 56880, 454, 454, 702
317, 884, -0.9397852565558924, -0.9397852565558924, -3.0308015171589475, 7060, 7060, 27820, 119, 119, 337
215, 1246, -0.33953454830385443, -0.33953454830385443, -2.5665023144601977, 6360, 6360, 36940, 80, 80, 482
1984, 2385, -0.693850170382483, -0.693850170382483, -2.2114095173650683, 53620, 53620, 63580, 789, 789, 937
419, 512, -0.3519874652657906, -0.3519874652657906, -2.7109248238255166, 10500, 10500, 11900, 165, 165, 189
333, 503, -0.8118311933714415, -0.8118311933714415, -2.439209602174476, 12200, 12200, 17460, 128, 128, 186
518, 639, -0.41045435987684964, -0.41045435987684964, -3.384387054047047, 19900, 19900, 22800, 204, 204, 240
384, 655, -0.49958008618943495, -0.49958008618943495, -3.063981303384767, 11800, 11800, 16800, 150, 150, 245
1811, 3095, -0.17531371365741683, -0.17531371365741683, -2.9995929400716927, 51820, 51820, 93740, 721, 721, 1221
950, 1631, -0.033512770798202404, -0.033512770798202404, -3.013704224120198, 30140, 30140, 47180, 379, 379, 636
342, 699, -0.40970573818231804, -0.40970573818231804, -3.1509019608589557, 10160, 10160, 22820, 131, 131, 264
342, 355, -1.5127395379245852, -1.5127395379245852, -2.87681327378067, 10120, 10120, 11320, 123, 123, 127
500, 539, -1.274059611920151, -1.274059611920151, -3.2938744192974885, 13320, 13320, 13940, 189, 189, 199
159, 407, -0.10293006382614128, -0.10293006382614128, -2.5585764190513918, 3220, 3220, 7800, 62, 62, 147
118, 176, -0.7564590147255151, -0.7564590147255151, -2.933643113187473, 2360, 2360, 3060, 43, 43, 55
437, 582, -0.13117111024431974, -0.13117111024431974, -3.2166396999710147, 14060, 14060, 16180, 173, 173, 216
2028, 4435, -0.21264153658354823, -0.21264153658354823, -3.987172449849343, 51080, 51080, 123860, 808, 808, 1759
384, 1104, -0.12578034189628884, -0.12578034189628884, -3.6129410499274504, 10640, 10640, 31620, 153, 153, 425
167, 299, -0.28326955610805726, -0.28326955610805726, -3.203770500108264, 3380, 3380, 9280, 62, 62, 103
275, 327, -0.33845598644875086, -0.33845598644875086, -2.821547771210366, 5320, 5320, 5860, 105, 105, 114
703, 1113, -1.125733481457512, -1.125733481457512, -2.9993196511574207, 21300, 21300, 30540, 271, 271, 428
297, 402, -0.1339442074777337, -0.1339442074777337, -2.8376913789842027, 7540, 7540, 10160, 117, 117, 146
328, 634, -0.5591550854649345, -0.5591550854649345, -2.5307966757337397, 9540, 9540, 17440, 127, 127, 237
111, 137, -1.6333470568053512, -1.6333470568053512, -2.4498595895281565, 3960, 3960, 4040, 36, 36, 38
247, 1455, -0.6196012609795917, -0.6196012609795917, -3.171789054909915, 7320, 7320, 46760, 94, 94, 565
